protein_mention_id,doi,name,abbreviation,species_or_source,role,query,value_origin,source_database,match_status,qa_status,qa_note,uniprot_accession,uniprot_id,reviewed,protein_full_name,organism,sequence_length,molecular_mass_Da,sequence_available,pdb_cross_refs,result_count
152,10.1002/jssc.201600992,human serum albumin,HSA,human,competing protein,human serum albumin,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism;common_accession_mismatch_expected_P02768,P43652,AFAM_HUMAN,False,Afamin,Homo sapiens,599.0,69069.0,True,,3.0
153,10.1002/jssc.201600992,hemoglobin,Hb,,competing protein,hemoglobin human,external_descriptor,UniProt,matched,usable,,P68871,HBB_HUMAN,False,Hemoglobin subunit beta,Homo sapiens,147.0,15998.0,True,,3.0
1925,10.1002/jssc.201700247,human lactoferrin,HuLF,human milk,target protein,human lactoferrin human milk,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1926,10.1002/jssc.201700247,M13 bacteriophage capsid proteins,M13,filamentous M13 bacteriophage,affinity ligand scaffold,M13 bacteriophage capsid protein filamentous M13 bacteriophage,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1927,10.1002/jssc.201700247,casein micelles,,human milk,suspected nonspecific impurity,human casein human milk,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
209,10.1002/jssc.202000255,lysozyme,,chicken egg white,target protein,chicken lysozyme chicken egg white,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P00698,LYSC_CHICK,False,Lysozyme C,Gallus gallus,147.0,16239.0,True,,3.0
210,10.1002/jssc.202000255,chicken egg white proteins,CEW proteins,chicken egg white,competitor protein mixture,Gallus gallus egg white proteins chicken egg white,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P01012,OVAL_CHICK,False,Ovalbumin,Gallus gallus,386.0,42881.0,True,,3.0
2801,10.1002/jssc.202100675,γ-conglutin,γ-conglutin,Lupinus albus L.,target protein purified by cryogel chromatography,gamma conglutin Lupinus albus Lupinus albus L.,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2802,10.1002/jssc.202100675,γ-conglutin 1,,Lupinus albus L.,LC-MS/MS identified protein isoform,Q9FSH9 Lupinus albus L.,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2803,10.1002/jssc.202100675,γ-conglutin 2,,Lupinus albus L.,LC-MS/MS identified protein isoform,Q9FEX1 Lupinus albus L.,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2804,10.1002/jssc.202100675,α-conglutin,,lupin seeds,probable non-adsorbing competitor protein,alpha conglutin lupin lupin seeds,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2805,10.1002/jssc.202100675,β-conglutin,,lupin seeds,probable non-adsorbing competitor protein,beta conglutin lupin lupin seeds,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2806,10.1002/jssc.202100675,bovine serum albumin,BSA,bovine,reference protein for biuret assay,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
1928,10.1002/jssc.202200639,lactoperoxidase,LPO,"milk, whey, colostrum; standard LPO from Sigma-Aldrich",target protein,"lactoperoxidase bovine milk, whey, colostrum; standard LPO from Sigma-Aldrich",external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1929,10.1002/jssc.202200639,bovine serum albumin,BSA,bovine,protein standard,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
1930,10.1002/jssc.202200639,whey proteins,,whey,competitor protein mixture,whey proteins,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
192,10.1002/jssc.202300017,bovine serum albumin,BSA,bovine,model molecule and target protein,bovine serum albumin,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02769,ALBU_BOVIN,False,Albumin,Bos taurus,607.0,69293.0,True,,3.0
193,10.1002/jssc.202300017,bovine plasma proteins,,bovine plasma,competitor protein mixture,bovine plasma proteins,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P01009,A1AT_HUMAN,False,Alpha-1-antitrypsin,Homo sapiens,418.0,46737.0,True,,3.0
2786,10.1002/mabi.200300034,human serum albumin,HSA,human serum,protein separation target and adsorption target,human serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
16,10.1002/mabi.200500085,bovine serum albumin,BSA,bovine serum,template protein and adsorption target,bovine serum albumin Bos taurus,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02769,ALBU_BOVIN,False,Albumin,Bos taurus,607.0,69293.0,True,,3.0
17,10.1002/mabi.200500085,casein,,,selectivity comparator protein,casein,external_descriptor,UniProt,matched,usable,,P05814,CASB_HUMAN,False,Beta-casein,Homo sapiens,226.0,25382.0,True,,3.0
2789,10.1002/mabi.200500091,human serum albumin,HSA,human,adsorption target; major plasma protein,human serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2790,10.1002/mabi.200500091,gamma-globulins,γ-globulins,human,adsorption target; major plasma protein,human gamma globulin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2791,10.1002/mabi.200500091,fibrinogen,,human,adsorption target; major plasma protein; platelet adhesive protein,human fibrinogen,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
491,10.1002/mabi.200800273,myoglobin,Mb,horse heart,template biomolecule and adsorption target,horse heart myoglobin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
492,10.1002/mabi.200800273,hemoglobin,Hb,rabbit,reference substrate for selectivity,rabbit hemoglobin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2460,10.1002/mabi.200900304,lipase,,Pseudomonas cepacia,target enzyme,Pseudomonas cepacia lipase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2461,10.1002/mabi.200900304,bovine serum albumin,BSA,bovine,protein assay standard,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2462,10.1002/mabi.200900304,carbonic anhydrase B,CAB,,prior-study enzyme example,carbonic anhydrase B,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2463,10.1002/mabi.200900304,cytokine,,,prior CHP nanogel delivery example,cytokine,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2464,10.1002/mabi.200900304,oncoprotein,,,prior CHP nanogel vaccine complex example,oncoprotein,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2289,10.1002/mabi.200900356,HIV-1 capsid p24 protein,p24,HIV-1,adsorbate; immunogenic model protein for sub-unit vaccine,HIV-1 p24 capsid protein,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2290,10.1002/mabi.200900356,immunoglobulin G,IgG,,adsorbate; model antibody for targeting vectors,immunoglobulin G,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2291,10.1002/mabi.200900356,ovalbumin,,,literature comparator protein,ovalbumin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1682,10.1002/mabi.201100087,vitronectin,VN,bovine,adhesion-mediating plasma/ECM protein and dominant adsorbing serum component in this study,bovine vitronectin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1683,10.1002/mabi.201100087,fibronectin,FN,bovine,adhesion-mediating plasma/ECM protein tested for adsorption and competition with VN,bovine fibronectin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1684,10.1002/mabi.201100087,bovine serum albumin,BSA,bovine,abundant non-cell-adhesive serum protein,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
1685,10.1002/mabi.201100087,fetal bovine serum,FBS,fetal bovine,complex serum protein mixture and competitive adsorption source,fetal bovine serum,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2986,10.1002/mabi.201200445,fibrinogen,Fg,,model blood protein and platelet adhesion mediator,fibrinogen,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2987,10.1002/mabi.201200445,fibronectin,Fn,,blood protein important for platelet adhesion,fibronectin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2988,10.1002/mabi.201200445,vitronectin,Vn,,blood protein discussed as platelet activation mediator,vitronectin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2989,10.1002/mabi.201200445,von Willebrand factor,VWF,,blood protein important for platelet adhesion,von Willebrand factor,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2990,10.1002/mabi.201200445,collagen,,,adhesion-related protein,collagen,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2991,10.1002/mabi.201200445,bovine serum proteins,,adult bovine serum,complex protein mixture,bovine serum albumin and bovine serum proteins adult bovine serum,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2974,10.1002/mabi.201400366,lysozyme,,egg white,"microgel-forming protein, partitioning protein, amyloid fibril precursor",egg white lysozyme,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2272,10.1002/mabi.201700372,insulin,,recombinant human,therapeutic protein cargo and stabilization target,human insulin recombinant human,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2273,10.1002/mabi.201700372,FITC-labeled insulin,,human insulin labeled with FITC,fluorescent release assay cargo,human insulin human insulin labeled with FITC,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2274,10.1002/mabi.201700372,bovine serum albumin,BSA,bovine,blocking agent and literature comparator,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2275,10.1002/mabi.201700372,concanavalin A,Con A,,literature glucose-responsive material,concanavalin A,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2276,10.1002/mabi.201700372,glucose oxidase,,,literature glucose-responsive material,glucose oxidase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2026,10.1002/mabi.202000126,bovine serum albumin,BSA,bovine,"hydrogel-forming protein matrix, fatty acid binding protein",bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2027,10.1002/mabi.202000126,human serum albumin,HSA,human,background comparison from prior work,human serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
859,10.1002/mabi.202200487,human serum albumin,HSA,human,hydrogel-forming protein backbone and modified protein studied for fatty acid binding,human serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
1841,10.1002/mabi.202400075,hyaluronan synthase from Pasteurella multocida,PmHAS,Pasteurella multocida; recombinant His6-tagged PmHAS1-703 from E. coli expression,adsorbed/immobilized enzyme target,Pasteurella multocida hyaluronan synthase PmHAS Pasteurella multocida; recombinant His6-tagged PmHAS1-703 from E. coli expression,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1842,10.1002/mabi.202400075,His6-tagged PmHAS1-703,His6-PmHAS1-703,Pasteurella multocida enzyme variant expressed in E. coli BL21(DE3),specific adsorbed protein construct,Pasteurella multocida hyaluronan synthase 1-703 His tag Pasteurella multocida enzyme variant expressed in E. coli BL21(DE3),external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1843,10.1002/mabi.202400075,bovine serum albumin,BSA,bovine,Bradford assay calibration standard,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2763,10.1002/mabi.202600003,bovine serum albumin,BSA,bovine,model protein for adsorption assay and blocking reagent in staining workflow,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2764,10.1002/mabi.202600003,human insulin,INS,"human insulin, Lansulins R","therapeutic protein, molecular imprinting template, loaded/released protein","human insulin human insulin, Lansulins R",external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2765,10.1002/mabi.202600003,mucin,,fresh cow mucin,mucoadhesion test substrate,bovine mucin fresh cow mucin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2766,10.1002/mabi.202600003,apo-transferrin,,,cell culture medium supplement,transferrin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2129,10.1002/macp.200500125,bovine serum albumin,BSA,bovine,model protein for gel-extraction separation,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
697,10.1002/macp.200900425,hemoglobin,Hb,bovine hemoglobin for template and aqueous adsorption; human blood hemolysate for depletion experiment,template molecule and adsorption target,hemoglobin bovine OR hemoglobin human bovine hemoglobin for template and aqueous adsorption; human blood hemolysate for depletion experiment,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
698,10.1002/macp.200900425,myoglobin,Myb,equine skeletal muscle,competitor protein,myoglobin horse equine skeletal muscle,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
699,10.1002/macp.200900425,bovine serum albumin,BSA,bovine,competitor protein,serum albumin bovine,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2953,10.1002/macp.201700504,gelatin type B,GB,,protein hydrogel component,gelatin type B,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2954,10.1002/macp.201700504,bovine serum albumin,BSA,bovine,globular protein mentioned as compatible with VIPS mixed gel formation,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
617,10.1002/macp.202100285,laccase,,Trametes sp.,"enzyme used for hydrogel biodegradation, not adsorption target",laccase Trametes sp.,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2576,10.1002/macp.202300306,lysozyme,Lys,,positively charged model protein for SPR fouling assays,lysozyme,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2577,10.1002/macp.202300306,human serum albumin,HSA,human plasma,negatively charged model plasma protein,human serum albumin ALB human plasma,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2578,10.1002/macp.202300306,human blood plasma,BP,human,undiluted complex biofluid protein mixture challenge,human blood plasma,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2650,10.1002/mame.201200297,lysozyme,Lys,hen egg white,model protein sorbate,hen egg white lysozyme,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2651,10.1002/mame.201200297,bovine serum albumin,BSA,bovine,model protein sorbate,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2652,10.1002/mame.201200297,fibrinogen,Fib,bovine plasma,model protein sorbate,bovine fibrinogen bovine plasma,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2821,10.1002/mame.201800782,phytase,,"provided by Phytex, LLC; organism not reported",animal feed enzyme target; release model when FITC-labeled,"phytase provided by Phytex, LLC; organism not reported",external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2822,10.1002/mame.201800782,FITC-labeled phytase,FITC-phytase,"phytase provided by Phytex, LLC and labeled by authors",fluorescent release-study protein,"phytase phytase provided by Phytex, LLC and labeled by authors",external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2823,10.1002/mame.201800782,xylanase,,Trichoderma longibrachiatum; purchased from Megazyme,animal feed enzyme target,Trichoderma longibrachiatum xylanase Trichoderma longibrachiatum; purchased from Megazyme,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2824,10.1002/mame.201800782,beta-glucanase,,Aspergillus niger; purchased from Sigma-Aldrich,animal feed enzyme target,Aspergillus niger beta-glucanase Aspergillus niger; purchased from Sigma-Aldrich,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3057,10.1002/mame.202400230,lysozyme,,,protein fouling probe for antibiofouling QCM-D test,lysozyme,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3256,10.1002/marc.200700024,mouse monoclonal anti-GM3 immunoglobulin M,anti-GM3 IgM,mouse monoclonal,primary antibody binding probe for ELISA,mouse monoclonal anti-GM3 IgM,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3257,10.1002/marc.200700024,HRP-conjugated goat-anti-mouse IgM,,goat anti-mouse,secondary antibody detection reagent,goat anti-mouse IgM HRP conjugated,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3258,10.1002/marc.200700024,Wheat Germ Agglutinin,WGA,wheat germ plant lectin,lectin binding probe for sialosides and glucosaminides,Wheat Germ Agglutinin wheat germ plant lectin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3259,10.1002/marc.200700024,bovine serum albumin,BSA,bovine,blocking protein,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2732,10.1002/marc.202100413,human serum albumin,HSA,human serum,"hydrogel backbone protein, not adsorbed target",human serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2733,10.1002/marc.202100413,lysozyme,,,literature comparison for hydrodynamic size of protein-PEG conjugates,lysozyme,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1091,10.1002/pat.1047,glucose oxidase,GOX,,immobilized enzyme,glucose oxidase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3064,10.1002/pat.1701,alpha-amylase,,,model enzyme immobilized into microgels by direct adsorption,alpha-amylase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2164,10.1002/pat.1726,bovine serum albumin,BSA,bovine,model protein for protein resistance evaluation,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2433,10.1002/pat.2057,bovine serum albumin,BSA,bovine,model protein for filtration and retention,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2434,10.1002/pat.2057,lysozyme,LYS,chicken egg white,model protein for filtration and retention,chicken egg white lysozyme,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2961,10.1002/pat.3167,bovine serum albumin,BSA,"bovine; purchased from Solarbio Science & Technology Co. Ltd., Beijing, China",model foulant protein,"bovine serum albumin bovine; purchased from Solarbio Science & Technology Co. Ltd., Beijing, China",external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
1519,10.1002/pat.3676,human serum albumin,HSA,human,small serum protein tested for diffusion/adsorption,human serum albumin ALB,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
1520,10.1002/pat.3676,human fibronectin,FN,human,large extracellular matrix protein tested for diffusion/adsorption,human fibronectin FN1,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1521,10.1002/pat.3676,C5a,C5a,human plasma/serum,complement activation marker; discussed as potentially diffusing into hydrogel,human complement C5 C5a human plasma/serum,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2609,10.1002/pat.4233,lactoferrin,,bovine milk,artificial tear fluid protein component,bovine lactoferrin bovine milk,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2610,10.1002/pat.4233,lysozyme,,,artificial tear fluid protein component; major tear fluid protein discussed mechanistically,lysozyme,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2611,10.1002/pat.4233,bovine serum albumin,BSA,bovine,artificial tear fluid protein component,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2612,10.1002/pat.4233,mucin,,,artificial tear fluid protein/glycoprotein component,mucin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1818,10.1002/pat.4623,bovine serum albumin,BSA,bovine; purchased from Beyotime Biotechnology,model protein for static adsorption testing,bovine serum albumin Bos taurus bovine; purchased from Beyotime Biotechnology,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
1819,10.1002/pat.4623,lysozyme,LZM,purchased from Beyotime Biotechnology; species not reported,model protein for static adsorption testing,lysozyme purchased from Beyotime Biotechnology; species not reported,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2937,10.1002/pat.4810,artificial tear fluid proteins,ATF proteins,artificial tear fluid mixture,adsorption/fouling target,artificial tear fluid proteins artificial tear fluid mixture,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2938,10.1002/pat.4810,lactoferrin,,bovine milk,artificial tear fluid component,bovine lactoferrin bovine milk,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2939,10.1002/pat.4810,lysozyme,,,artificial tear fluid component and mechanistic protein discussed,lysozyme,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2940,10.1002/pat.4810,bovine serum albumin,BSA,bovine,artificial tear fluid component,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2941,10.1002/pat.4810,mucin,,,artificial tear fluid component,mucin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2942,10.1002/pat.4810,transforming growth factor-Beta,TGF-beta1,,literature comparison only,transforming growth factor beta 1,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
801,10.1002/pat.5214,fluorescein isothiocyanate-conjugated bovine serum albumin,FITC-BSA,bovine,model protein for fluorescence/UV-vis antifouling assay,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
802,10.1002/pat.5214,bovine serum albumin,BSA,bovine,model protein for XPS adsorption assay,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
3208,10.1002/pat.6213,formate dehydrogenase,FDH,,enzyme being mimicked; not adsorbed or immobilized in the reported cryogel system,formate dehydrogenase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1908,10.1002/pen.24077,bovine serum albumin,BSA,bovine,model protein foulant for adsorption and filtration tests,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
1481,10.1002/pi.1625,bovine serum albumin,BSA,bovine,protein target for concentration separation,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
1044,10.1002/pi.1673,bovine serum albumin,BSA,bovine,adsorbate protein; model blood protein,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
1045,10.1002/pi.1673,blood proteins,,,general biointerface context,blood proteins,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1486,10.1002/pi.1773,bovine serum albumin,BSA,bovine,adsorbate protein in hydrogel biocompatibility assay,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
1487,10.1002/pi.1773,casein,,,hydrogel component protein,casein,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1488,10.1002/pi.1773,plasma proteins,,human blood/plasma,biointerface response context,plasma proteins human blood/plasma,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2734,10.1002/pmic.200900187,myoglobin,,equine,single-protein binding and recovery test target,equine myoglobin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2735,10.1002/pmic.200900187,serum albumin,,human plasma,abundant plasma protein comparator/competitor,human serum albumin human plasma,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2736,10.1002/pmic.200900187,sex hormone binding globulin,,human plasma,identified lower-abundance plasma protein after SEAN fractionation,human sex hormone binding globulin human plasma,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2737,10.1002/pmic.200900187,serum paraoxonase/arylesterase 1,PON1,human plasma,identified lower-abundance plasma protein after SEAN fractionation,human serum paraoxonase arylesterase 1 human plasma,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2738,10.1002/pmic.200900187,kallistatin,,human plasma,identified lower-abundance plasma protein after SEAN fractionation,human kallistatin human plasma,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2739,10.1002/pmic.200900187,receptor expression-enhancing protein 1,REEP1,human plasma,identified lower-abundance plasma protein after SEAN fractionation,human receptor expression-enhancing protein 1 human plasma,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
3291,10.1002/pola.10554,plasma protein mixture,,plasma,background literature mention only,plasma protein mixture,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
3292,10.1002/pola.10554,cell-adhesive protein,,,author-claimed mechanism for reduced fibroblast adhesion,cell-adhesive protein,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3293,10.1002/pola.10554,fetal bovine serum proteins,FBS proteins,fetal bovine serum,"cell culture medium component, not measured adsorption target",fetal bovine serum proteins,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
1890,10.1002/pola.23937,hepcidin N-terminus peptide,,synthetic,epitope template and adsorption target,hepcidin human N-terminus DTHFPI synthetic,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1891,10.1002/pola.23937,hepcidin,,synthetic full-length 25-residue peptide,"adsorption target and, as CF-hepcidin, template for MIP5",hepcidin antimicrobial peptide HAMP human synthetic full-length 25-residue peptide,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1892,10.1002/pola.23937,carboxyfluorescein-labeled hepcidin,CF-hepcidin,synthetic full-length hepcidin,fluorescent adsorption target and template,hepcidin antimicrobial peptide HAMP human synthetic full-length hepcidin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1893,10.1002/pola.23937,bovine serum albumin,BSA,bovine,large protein exclusion comparator,bovine serum albumin ALB,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
1894,10.1002/pola.23937,ferroportin,,MDCK cell assay context,"biological activity assay binding partner, not hydrogel adsorption target",ferroportin SLC40A1 MDCK cell assay context,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2001,10.1002/pola.26903,bovine serum albumin,BSA,bovine,hydrogel macrothiol precursor and protein component,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2002,10.1002/pola.26903,reduced bovine serum albumin,BSA-SH,bovine,macrothiol crosslinking component,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2003,10.1002/pola.26903,gelatin hydrolysate,GH,porcine collagen-derived,hydrogel backbone precursor,gelatin hydrolysate porcine collagen-derived,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2004,10.1002/pola.26903,fetal bovine serum,FBS,bovine,cell culture supplement,fetal bovine serum,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2550,10.1002/polb.23367,fibronectin,Fn,human plasma,target adsorbate/protein fouling probe,human fibronectin FN1 human plasma,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2551,10.1002/polb.23367,mouse anti-human primary antibody,,mouse,immunodetection reagent,mouse anti-human primary antibody,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2552,10.1002/polb.23367,FITC-conjugated goat anti-mouse secondary antibody,,goat,fluorescent immunodetection reagent,FITC-conjugated goat anti-mouse secondary antibody,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2084,10.1002/pro.3976,bovine serum albumin,BSA,bovine,hydrogel-forming protein and conformational target of EPR analysis,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2085,10.1002/pro.3976,human serum albumin,HSA,human,background comparison protein discussed for molten globule states,human serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
780,10.1002/psc.70032,human immunoglobulin G FITC-labeled,hIgG-FITC,human; Sigma-Aldrich,model antibody payload and release reporter,human immunoglobulin G FITC-labeled human; Sigma-Aldrich,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
781,10.1002/psc.70032,human immunoglobulin G,hIgG,human; Sigma-Aldrich,unlabeled antibody payload comparator,human immunoglobulin G human; Sigma-Aldrich,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
782,10.1002/psc.70032,Cetuximab,Cetuximab,Erbitux; NIH Pharmacy,therapeutic antibody payload and SPR analyte,Cetuximab Erbitux; NIH Pharmacy,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
